Occupancy,LastUpdated
61,2016-10-04 7:59
64,2016-10-04 8:25
80,2016-10-04 8:59
107,2016-10-04 9:32
150,2016-10-04 9:59
177,2016-10-04 10:26
219,2016-10-04 10:59
247,2016-10-04 11:25
259,2016-10-04 11:59
266,2016-10-04 12:29
269,2016-10-04 13:02
263,2016-10-04 13:29
238,2016-10-04 14:02
215,2016-10-04 14:29
192,2016-10-04 14:57
165,2016-10-04 15:30
162,2016-10-04 16:04
143,2016-10-04 16:31
54,2016-10-05 7:57
59,2016-10-05 8:30
71,2016-10-05 9:04
83,2016-10-05 9:30
114,2016-10-05 10:04
128,2016-10-05 10:30
148,2016-10-05 11:04
162,2016-10-05 11:30
178,2016-10-05 12:04
183,2016-10-05 12:30
175,2016-10-05 12:57
179,2016-10-05 13:30
174,2016-10-05 13:57
158,2016-10-05 14:30
145,2016-10-05 14:57
129,2016-10-05 15:30
121,2016-10-05 16:04
114,2016-10-05 16:30
58,2016-10-06 7:57
63,2016-10-06 8:30
70,2016-10-06 8:57
95,2016-10-06 9:30
135,2016-10-06 10:03
160,2016-10-06 10:30
177,2016-10-06 10:57
191,2016-10-06 11:30
199,2016-10-06 12:04
206,2016-10-06 12:30
198,2016-10-06 12:57
208,2016-10-06 13:30
200,2016-10-06 13:57
175,2016-10-06 14:30
158,2016-10-06 15:04
153,2016-10-06 15:31
135,2016-10-06 16:04
129,2016-10-06 16:30
58,2016-10-07 8:03
61,2016-10-07 8:30
75,2016-10-07 9:04
103,2016-10-07 9:30
128,2016-10-07 9:57
172,2016-10-07 10:30
188,2016-10-07 10:57
199,2016-10-07 11:30
210,2016-10-07 12:03
206,2016-10-07 12:30
200,2016-10-07 13:04
201,2016-10-07 13:30
193,2016-10-07 14:03
181,2016-10-07 14:30
172,2016-10-07 15:04
159,2016-10-07 15:30
158,2016-10-07 15:57
132,2016-10-07 16:30
58,2016-10-08 7:57
61,2016-10-08 8:30
75,2016-10-08 8:57
104,2016-10-08 9:30
158,2016-10-08 10:04
191,2016-10-08 10:30
223,2016-10-08 10:57
254,2016-10-08 11:30
306,2016-10-08 12:04
320,2016-10-08 12:30
348,2016-10-08 13:04
357,2016-10-08 13:30
395,2016-10-08 14:03
400,2016-10-08 14:30
395,2016-10-08 14:57
406,2016-10-08 15:30
381,2016-10-08 16:04
365,2016-10-08 16:30
42,2016-10-09 8:04
42,2016-10-09 8:30
43,2016-10-09 9:04
43,2016-10-09 9:30
50,2016-10-09 9:57
64,2016-10-09 10:30
100,2016-10-09 11:04
126,2016-10-09 11:30
148,2016-10-09 11:57
170,2016-10-09 12:30
189,2016-10-09 13:04
205,2016-10-09 13:30
208,2016-10-09 14:03
209,2016-10-09 14:30
191,2016-10-09 15:04
180,2016-10-09 15:30
155,2016-10-09 16:03
133,2016-10-09 16:30
54,2016-10-10 8:04
56,2016-10-10 8:30
65,2016-10-10 9:04
73,2016-10-10 9:30
92,2016-10-10 10:03
113,2016-10-10 10:30
144,2016-10-10 10:57
149,2016-10-10 11:30
159,2016-10-10 11:57
171,2016-10-10 12:30
176,2016-10-10 13:04
172,2016-10-10 13:30
161,2016-10-10 14:03
154,2016-10-10 14:30
137,2016-10-10 14:57
129,2016-10-10 15:30
130,2016-10-10 15:57
114,2016-10-10 16:30
56,2016-10-11 8:04
64,2016-10-11 8:30
74,2016-10-11 8:57
93,2016-10-11 9:30
129,2016-10-11 9:57
167,2016-10-11 10:30
200,2016-10-11 10:57
219,2016-10-11 11:30
225,2016-10-11 12:03
221,2016-10-11 12:30
217,2016-10-11 13:04
217,2016-10-11 13:31
208,2016-10-11 14:04
191,2016-10-11 14:30
167,2016-10-11 15:03
159,2016-10-11 15:33
150,2016-10-11 16:01
127,2016-10-11 16:26
51,2016-10-12 8:04
57,2016-10-12 8:31
64,2016-10-12 9:03
73,2016-10-12 9:26
99,2016-10-12 10:01
112,2016-10-12 10:31
127,2016-10-12 11:04
128,2016-10-12 11:31
143,2016-10-12 12:04
158,2016-10-12 12:31
157,2016-10-12 13:04
164,2016-10-12 13:34
167,2016-10-12 14:03
159,2016-10-12 14:34
140,2016-10-12 15:01
128,2016-10-12 15:30
121,2016-10-12 15:57
111,2016-10-12 16:31
58,2016-10-13 7:57
65,2016-10-13 8:31
76,2016-10-13 9:04
